,user_id,test_group,created_order_in_3_days,order_sum,geo_group,marketing_group
29232,1107388,test,0,,regions,target_direct
37163,1088401,test,1,2200.0,regions,organic
32752,1021729,control,1,1600.0,spb,context_brand
16203,1042618,control,0,,regions,target_direct
27851,1105738,test,0,,regions,target_direct
40059,1112980,test,0,,regions,context_brand
22385,1101811,test,0,,regions,target_direct
23025,1054006,control,0,,regions,context_brand
39092,1118194,test,1,6588.0,regions,social_media
36678,1013128,control,1,5855.0,msk,social_media
5195,1023172,control,0,,spb,social_media
35423,1117177,test,1,6586.0,regions,social_media
27199,1112266,test,0,,regions,context_brand
19747,1015657,control,0,,spb,organic
7193,1083748,test,0,,regions,organic
2636,1079563,test,1,11118.0,spb,target_direct
19196,1117954,test,0,,regions,social_media
37881,1113991,test,0,,regions,context_brand
34223,1074667,test,0,,spb,organic
4172,1023151,control,1,200.0,spb,social_media
34330,1010119,control,1,50.0,msk,target_direct
38405,1075972,test,0,,spb,organic
20360,1080808,test,0,,spb,target_direct
20121,1090966,test,0,,regions,organic
39613,1045966,control,0,,regions,target_direct
12384,1119004,test,1,400.0,regions,social_media
25342,1078558,test,1,5384.543994413408,spb,target_direct
5074,1031947,control,0,,regions,organic
4035,1116082,test,0,,regions,social_media
30533,1057801,control,0,,regions,social_media
523,1075843,test,0,,spb,organic
8805,1110043,test,0,,regions,target_direct
17048,1003963,control,0,,msk,organic
687,1015822,control,0,,spb,organic
31871,1006150,control,0,,msk,target_direct
3888,1057846,control,0,,regions,social_media
14570,1024411,control,0,,regions,organic
35483,1009555,control,1,50.0,msk,target_direct
39368,1028641,control,0,,regions,organic
24690,1037101,control,0,,regions,target_direct
2540,1004098,control,0,,msk,organic
9853,1017679,control,1,50.0,spb,target_direct
22721,1064773,test,0,,msk,target_direct
34205,1119979,test,0,,regions,social_media
16808,1046203,control,0,,regions,target_direct
25181,1032451,control,0,,regions,organic
19992,1044868,control,0,,regions,target_direct
30416,1057867,control,0,,regions,social_media
27330,1084708,test,0,,regions,organic
24790,1047229,control,0,,regions,target_direct
3500,1008850,control,1,10416.0,msk,target_direct
16833,1073314,test,0,,msk,social_media
4957,1084093,test,0,,regions,organic
23657,1057519,control,0,,regions,social_media
14641,1067365,test,1,5948.0,msk,target_direct
27637,1018123,control,1,14441.0,spb,target_direct
33563,1059070,control,1,4469.0,regions,social_media
15170,1006021,control,0,,msk,target_direct
36580,1085776,test,0,,regions,organic
29791,1051039,control,1,2952.0,regions,target_direct
21980,1008457,control,1,50.0,msk,target_direct
3352,1070413,test,1,12232.0,msk,target_direct
33557,1049695,control,0,,regions,target_direct
37650,1109506,test,0,,regions,target_direct
26741,1080679,test,0,,spb,target_direct
12554,1036438,control,0,,regions,target_direct
6208,1035712,control,1,6713.0,regions,target_direct
11977,1095937,test,0,,regions,target_direct
32974,1065970,test,1,10278.0,msk,target_direct
32321,1006825,control,0,,msk,target_direct
30747,1043005,control,1,8018.0,regions,target_direct
11392,1105978,test,0,,regions,target_direct
9847,1077376,test,1,10184.0,spb,target_direct
2764,1068574,test,0,,msk,target_direct
28166,1106473,test,0,,regions,target_direct
20612,1065529,test,0,,msk,target_direct
30363,1004806,control,1,50.0,msk,target_direct
38977,1040332,control,0,,regions,target_direct
9275,1002982,control,1,2000.0,msk,organic
10637,1103140,test,0,,regions,target_direct
2151,1076044,test,0,,spb,organic
18381,1096561,test,0,,regions,target_direct
16159,1087504,test,0,,regions,organic
35645,1055152,control,0,,regions,context_brand
18801,1090522,test,0,,regions,organic
31648,1075360,test,0,,spb,organic
12500,1051219,control,1,16302.0,regions,target_direct
28095,1119835,test,0,,regions,social_media
4325,1003054,control,0,,msk,organic
35693,1054918,control,0,,regions,context_brand
4074,1092664,test,0,,regions,organic
10291,1037353,control,0,,regions,target_direct
16125,1067503,test,1,250.0,msk,target_direct
28625,1063957,test,0,,msk,organic
13079,1020784,control,0,,spb,target_direct
38187,1097671,test,0,,regions,target_direct
21178,1030891,control,1,2000.0,regions,organic
22215,1055023,control,0,,regions,context_brand
7282,1040653,control,0,,regions,target_direct
20455,1033834,control,0,,regions,organic
19943,1112884,test,0,,regions,context_brand
35305,1097827,test,0,,regions,target_direct
26117,1116313,test,0,,regions,social_media
10976,1074211,test,1,2200.0,spb,organic
6498,1097758,test,0,,regions,target_direct
31818,1019665,control,0,,spb,target_direct
38733,1003555,control,1,13374.0,msk,organic
9075,1090627,test,0,,regions,organic
8573,1030192,control,0,,regions,organic
37364,1109491,test,0,,regions,target_direct
22214,1093156,test,0,,regions,organic
20094,1030420,control,0,,regions,organic
28483,1090648,test,0,,regions,organic
25719,1072669,test,0,,msk,social_media
2490,1109989,test,1,11662.0,regions,target_direct
24137,1048663,control,0,,regions,target_direct
32210,1092919,test,0,,regions,organic
22734,1032067,control,0,,regions,organic
13441,1000456,control,1,7819.0,msk,organic
18119,1097101,test,1,4213.0,regions,target_direct
29652,1079503,test,0,,spb,target_direct
18630,1084249,test,0,,regions,organic
19847,1001395,control,0,,msk,organic
9941,1047319,control,0,,regions,target_direct
35060,1040971,control,0,,regions,target_direct
36697,1019077,control,0,,spb,target_direct
23517,1084873,test,0,,regions,organic
22292,1111213,test,1,4488.0,regions,target_direct
8143,1005148,control,0,,msk,target_direct
21726,1040212,control,0,,regions,target_direct
11111,1048801,control,0,,regions,target_direct
35202,1090363,test,0,,regions,organic
38918,1110517,test,0,,regions,target_direct
1903,1096459,test,1,250.0,regions,target_direct
21307,1117657,test,0,,regions,social_media
6742,1075795,test,1,7467.0,spb,organic
36596,1066873,test,0,,msk,target_direct
7437,1092823,test,0,,regions,organic
19535,1032097,control,0,,regions,organic
9716,1038286,control,1,2443.0,regions,target_direct
8879,1107601,test,1,250.0,regions,target_direct
4323,1084828,test,1,10752.0,regions,organic
568,1006387,control,1,11714.0,msk,target_direct
10497,1007722,control,0,,msk,target_direct
9390,1055290,control,0,,regions,context_brand
31925,1101817,test,0,,regions,target_direct
15213,1020625,control,0,,spb,target_direct
9347,1041106,control,0,,regions,target_direct
21723,1077253,test,0,,spb,target_direct
17804,1020418,control,1,4701.0,spb,target_direct
424,1042015,control,0,,regions,target_direct
21096,1037539,control,0,,regions,target_direct
31260,1003270,control,0,,msk,organic
4655,1037662,control,0,,regions,target_direct
33731,1040626,control,1,3508.0,regions,target_direct
5255,1049293,control,0,,regions,target_direct
3476,1069273,test,0,,msk,target_direct
30059,1003225,control,1,2000.0,msk,organic
11759,1023070,control,0,,spb,social_media
30509,1119868,test,0,,regions,social_media
33632,1008106,control,0,,msk,target_direct
9257,1050025,control,0,,regions,target_direct
1,1070332,test,1,5384.543994413408,msk,target_direct
24371,1092340,test,1,5384.543994413408,regions,organic
36319,1120261,test,0,,regions,social_media
13443,1063873,test,0,,msk,organic
19479,1053070,control,0,,regions,context_brand
36605,1114093,test,0,,regions,context_brand
35952,1000759,control,0,,msk,organic
15001,1119460,test,1,3426.0,regions,social_media
17884,1080235,test,0,,spb,target_direct
4027,1093099,test,0,,regions,organic
6162,1071097,test,0,,msk,context_brand
12944,1096180,test,0,,regions,target_direct
15837,1000327,control,1,13186.0,msk,organic
32428,1085314,test,0,,regions,organic
20433,1005076,control,0,,msk,target_direct
3768,1082623,test,0,,spb,social_media
36680,1051027,control,0,,regions,target_direct
23833,1105402,test,0,,regions,target_direct
21336,1051654,control,0,,regions,target_direct
39355,1109377,test,0,,regions,target_direct
6379,1113211,test,0,,regions,context_brand
5180,1032013,control,1,2000.0,regions,organic
23371,1065484,test,0,,msk,target_direct
25767,1088431,test,0,,regions,organic
11878,1025098,control,0,,regions,organic
30760,1003852,control,1,7554.0,msk,organic
7813,1111417,test,0,,regions,target_direct
19419,1019068,control,0,,spb,target_direct
7500,1068676,test,0,,msk,target_direct
16094,1093729,test,0,,regions,organic
33643,1030018,control,0,,regions,organic
10980,1001446,control,1,2000.0,msk,organic
29368,1008052,control,0,,msk,target_direct
17423,1109473,test,0,,regions,target_direct
34006,1042309,control,0,,regions,target_direct
23389,1083787,test,0,,regions,organic
10067,1006696,control,0,,msk,target_direct
28258,1023427,control,1,5398.0,spb,social_media
22042,1092619,test,0,,regions,organic
30688,1115353,test,0,,regions,context_brand
9374,1022683,control,0,,spb,social_media
14979,1079413,test,0,,spb,target_direct
36705,1027561,control,0,,regions,organic
20822,1019941,control,1,50.0,spb,target_direct
25698,1005004,control,1,5653.0,msk,target_direct
32033,1093375,test,0,,regions,organic
4734,1044493,control,0,,regions,target_direct
1702,1091809,test,0,,regions,organic
2940,1102906,test,0,,regions,target_direct
23705,1087453,test,0,,regions,organic
18971,1083142,test,0,,spb,social_media
18981,1032196,control,0,,regions,organic
5786,1083313,test,0,,spb,social_media
18527,1101160,test,0,,regions,target_direct
4890,1017622,control,0,,spb,target_direct
22325,1045465,control,0,,regions,target_direct
7021,1066162,test,1,250.0,msk,target_direct
33449,1008199,control,0,,msk,target_direct
13,1056256,control,1,200.0,regions,social_media
13615,1101109,test,0,,regions,target_direct
5306,1098211,test,0,,regions,target_direct
11842,1078198,test,0,,spb,target_direct
21883,1112887,test,1,4479.0,regions,context_brand
20410,1113571,test,0,,regions,context_brand
5026,1070491,test,0,,msk,target_direct
27147,1039501,control,0,,regions,target_direct
22100,1053673,control,0,,regions,context_brand
27148,1013245,control,0,,msk,social_media
35562,1005322,control,0,,msk,target_direct
10501,1026781,control,0,,regions,organic
15481,1021522,control,0,,spb,context_brand
17741,1007383,control,0,,msk,target_direct
22894,1023814,control,1,2000.0,regions,organic
16786,1113496,test,0,,regions,context_brand
8669,1095097,test,1,2265.0,regions,target_direct
37218,1012375,control,0,,msk,social_media
7698,1103044,test,0,,regions,target_direct
21698,1022146,control,0,,spb,context_brand
173,1007011,control,0,,msk,target_direct
3883,1097299,test,1,4320.0,regions,target_direct
11742,1091500,test,0,,regions,organic
15108,1057174,control,0,,regions,social_media
9236,1031515,control,1,8106.0,regions,organic
15409,1117684,test,0,,regions,social_media
29017,1078849,test,0,,spb,target_direct
5081,1017016,control,0,,spb,target_direct
27612,1056733,control,0,,regions,social_media
12646,1063411,test,0,,msk,organic
8384,1031509,control,0,,regions,organic
12463,1011994,control,0,,msk,social_media
31334,1095295,test,0,,regions,target_direct
25995,1016632,control,0,,spb,target_direct
36255,1011898,control,0,,msk,social_media
29166,1068187,test,0,,msk,target_direct
38483,1063423,test,1,7266.0,msk,organic
11707,1017262,control,0,,spb,target_direct
15384,1112161,test,1,7696.0,regions,context_brand
23560,1026073,control,0,,regions,organic
11826,1074862,test,0,,spb,organic
24830,1031998,control,0,,regions,organic
39655,1007098,control,1,11988.0,msk,target_direct
21746,1071763,test,1,12010.0,msk,context_brand
38436,1029469,control,0,,regions,organic
24055,1007269,control,1,5476.0,msk,target_direct
5719,1067146,test,0,,msk,target_direct
24744,1081822,test,1,5384.543994413408,spb,context_brand
34461,1063102,test,0,,msk,organic
19984,1032739,control,1,5381.0,regions,organic
12870,1042432,control,0,,regions,target_direct
14673,1090762,test,1,6111.0,regions,organic
16862,1055560,control,0,,regions,context_brand
20741,1026181,control,0,,regions,organic
34148,1092097,test,1,5267.0,regions,organic
3608,1088707,test,1,2200.0,regions,organic
27555,1088908,test,1,6160.0,regions,organic
36993,1013176,control,1,200.0,msk,social_media
39127,1016431,control,1,6876.0,spb,organic
20832,1116892,test,1,3156.0,regions,social_media
32921,1084417,test,0,,regions,organic
5005,1078672,test,0,,spb,target_direct
37232,1100710,test,0,,regions,target_direct
36729,1001782,control,1,7449.0,msk,organic
33212,1077985,test,0,,spb,target_direct
30630,1054219,control,0,,regions,context_brand
11059,1077658,test,0,,spb,target_direct
10622,1057126,control,1,4372.0,regions,social_media
4984,1080796,test,0,,spb,target_direct
26321,1013449,control,0,,spb,organic
39095,1031686,control,1,10940.0,regions,organic
14313,1104166,test,0,,regions,target_direct
160,1023679,control,0,,regions,organic
26389,1113631,test,0,,regions,context_brand
10903,1004398,control,0,,msk,target_direct
24793,1059739,control,0,,regions,social_media
30346,1056610,control,0,,regions,social_media
11257,1099231,test,0,,regions,target_direct
36297,1027606,control,0,,regions,organic
20270,1010356,control,0,,msk,context_brand
35097,1041373,control,1,8957.0,regions,target_direct
17547,1038661,control,0,,regions,target_direct
34645,1003990,control,0,,msk,organic
13222,1107319,test,0,,regions,target_direct
30431,1115161,test,0,,regions,context_brand
39190,1071829,test,0,,msk,context_brand
3468,1095952,test,0,,regions,target_direct
20918,1085257,test,0,,regions,organic
25646,1047520,control,1,50.0,regions,target_direct
8135,1031551,control,0,,regions,organic
28972,1101889,test,0,,regions,target_direct
16596,1045090,control,0,,regions,target_direct
29939,1040116,control,0,,regions,target_direct
15720,1048609,control,0,,regions,target_direct
24665,1098037,test,1,5384.543994413408,regions,target_direct
10223,1043866,control,0,,regions,target_direct
970,1022152,control,0,,spb,context_brand
753,1091731,test,1,2200.0,regions,organic
38860,1044028,control,0,,regions,target_direct
11064,1107133,test,1,2366.0,regions,target_direct
37253,1044355,control,0,,regions,target_direct
572,1006552,control,0,,msk,target_direct
38198,1019653,control,1,50.0,spb,target_direct
27755,1093978,test,0,,regions,organic
25387,1049161,control,0,,regions,target_direct
2659,1085152,test,0,,regions,organic
877,1117291,test,0,,regions,social_media
12892,1086589,test,0,,regions,organic
39922,1100989,test,0,,regions,target_direct
29497,1005586,control,1,5586.0,msk,target_direct
4440,1068916,test,0,,msk,target_direct
22050,1006852,control,0,,msk,target_direct
23883,1073635,test,1,11754.0,msk,social_media
15225,1048378,control,0,,regions,target_direct
2582,1021276,control,1,1600.0,spb,context_brand
35600,1017958,control,0,,spb,target_direct
18479,1021906,control,0,,spb,context_brand
19467,1034977,control,0,,regions,organic
37616,1102075,test,0,,regions,target_direct
20524,1031821,control,0,,regions,organic
25600,1002379,control,1,7250.0,msk,organic
20007,1046515,control,0,,regions,target_direct
4774,1017298,control,1,20374.0,spb,target_direct
1091,1007041,control,0,,msk,target_direct
2560,1062805,test,1,2200.0,msk,organic
34722,1083880,test,0,,regions,organic
9153,1114141,test,0,,regions,context_brand
39206,1075444,test,1,12686.0,spb,organic
35876,1077922,test,1,5380.0,spb,target_direct
27879,1073584,test,1,400.0,msk,social_media
8385,1031932,control,0,,regions,organic
2677,1012705,control,1,200.0,msk,social_media
7088,1051366,control,0,,regions,target_direct
29693,1109584,test,0,,regions,target_direct
29429,1062649,test,0,,msk,organic
14151,1056772,control,1,13636.0,regions,social_media
31704,1110691,test,0,,regions,target_direct
8996,1073866,test,0,,spb,organic
23740,1013605,control,0,,spb,organic
8551,1093861,test,1,5821.0,regions,organic
4898,1111537,test,0,,regions,target_direct
9310,1063249,test,0,,msk,organic
21747,1117705,test,0,,regions,social_media
11694,1114330,test,0,,regions,context_brand
34639,1108624,test,1,5388.0,regions,target_direct
28982,1010026,control,0,,msk,target_direct
25896,1091512,test,0,,regions,organic
15602,1039981,control,0,,regions,target_direct
29957,1021090,control,0,,spb,target_direct
2625,1099711,test,0,,regions,target_direct
21733,1024264,control,0,,regions,organic
23777,1114771,test,0,,regions,context_brand
19822,1020325,control,1,50.0,spb,target_direct
22593,1054906,control,0,,regions,context_brand
14155,1058074,control,0,,regions,social_media
2202,1033705,control,1,2000.0,regions,organic
23838,1057987,control,1,3683.0,regions,social_media
25077,1006309,control,1,15749.0,msk,target_direct
19370,1105117,test,0,,regions,target_direct
40101,1001605,control,0,,msk,organic
13613,1033984,control,0,,regions,organic
3150,1079974,test,0,,spb,target_direct
27091,1081972,test,0,,spb,context_brand
27618,1031251,control,0,,regions,organic
9254,1017256,control,1,50.0,spb,target_direct
13635,1064569,test,0,,msk,organic
40187,1115395,test,0,,regions,context_brand
3140,1005745,control,0,,msk,target_direct
37390,1116535,test,0,,regions,social_media
24232,1014898,control,1,2000.0,spb,organic
3311,1074757,test,1,7493.0,spb,organic
22179,1007110,control,0,,msk,target_direct
26377,1073593,test,0,,msk,social_media
32379,1088134,test,0,,regions,organic
38767,1024906,control,0,,regions,organic
13240,1003807,control,0,,msk,organic
11810,1030411,control,0,,regions,organic
8670,1065862,test,1,11558.0,msk,target_direct
37855,1015021,control,0,,spb,organic
24147,1113676,test,1,5384.543994413408,regions,context_brand
22804,1024825,control,0,,regions,organic
13691,1038712,control,0,,regions,target_direct
20646,1056181,control,0,,regions,context_brand
33852,1004605,control,1,11508.0,msk,target_direct
28236,1064182,test,1,2200.0,msk,organic
39913,1070686,test,0,,msk,context_brand
6369,1105342,test,1,8774.0,regions,target_direct
25329,1078282,test,1,5384.543994413408,spb,target_direct
23032,1069942,test,1,5384.543994413408,msk,target_direct
29470,1092763,test,0,,regions,organic
24014,1098538,test,0,,regions,target_direct
8247,1040143,control,0,,regions,target_direct
33533,1055818,control,1,1600.0,regions,context_brand
5639,1109860,test,0,,regions,target_direct
32206,1020178,control,0,,spb,target_direct
2753,1000600,control,0,,msk,organic
21114,1007926,control,0,,msk,target_direct
29302,1023547,control,1,200.0,spb,social_media
38231,1021360,control,1,16222.0,spb,context_brand
10376,1050034,control,1,2395.0,regions,target_direct
18218,1097665,test,0,,regions,target_direct
4795,1036366,control,0,,regions,target_direct
14409,1032613,control,1,10667.0,regions,organic
8681,1003165,control,0,,msk,organic
12857,1023517,control,0,,spb,social_media
11858,1060558,control,0,,regions,social_media
36070,1013320,control,1,200.0,msk,social_media
14716,1079410,test,1,9396.0,spb,target_direct
32146,1076413,test,0,,spb,organic
9022,1023913,control,0,,regions,organic
38817,1080625,test,1,250.0,spb,target_direct
32420,1047793,control,0,,regions,target_direct
16640,1046518,control,0,,regions,target_direct
27397,1099693,test,0,,regions,target_direct
9567,1065352,test,0,,msk,target_direct
13880,1004818,control,0,,msk,target_direct
25613,1023409,control,0,,spb,social_media
22725,1075855,test,1,12614.0,spb,organic
13053,1067386,test,1,5454.0,msk,target_direct
5758,1010302,control,0,,msk,context_brand
32586,1030582,control,1,2000.0,regions,organic
8725,1024555,control,0,,regions,organic
12578,1061491,test,0,,msk,organic
39717,1083526,test,1,400.0,spb,social_media
37509,1054954,control,0,,regions,context_brand
31020,1019557,control,0,,spb,target_direct
15622,1007515,control,0,,msk,target_direct
26248,1034293,control,0,,regions,organic
2567,1016512,control,1,7479.0,spb,organic
2175,1025995,control,0,,regions,organic
16506,1013737,control,0,,spb,organic
498,1029100,control,0,,regions,organic
5673,1081462,test,0,,spb,context_brand
33436,1094590,test,0,,regions,organic
7218,1064071,test,1,7217.0,msk,organic
20782,1012429,control,0,,msk,social_media
24266,1093654,test,1,5384.543994413408,regions,organic
37669,1089997,test,1,13492.0,regions,organic
3406,1001350,control,1,19322.0,msk,organic
38047,1008760,control,1,11016.0,msk,target_direct
11798,1105375,test,0,,regions,target_direct
12595,1016296,control,0,,spb,organic
7201,1060288,control,1,2680.0,regions,social_media
9913,1082941,test,0,,spb,social_media
16231,1054969,control,1,1600.0,regions,context_brand
10389,1110511,test,0,,regions,target_direct
29482,1104025,test,0,,regions,target_direct
922,1044535,control,0,,regions,target_direct
17332,1015813,control,0,,spb,organic
17574,1004695,control,0,,msk,target_direct
1689,1091821,test,1,2200.0,regions,organic
9394,1119346,test,1,9048.0,regions,social_media
28686,1010179,control,0,,msk,target_direct
214,1026748,control,0,,regions,organic
19255,1081771,test,1,6658.0,spb,context_brand
35942,1081204,test,1,10822.0,spb,target_direct
10401,1006633,control,0,,msk,target_direct
33310,1009297,control,0,,msk,target_direct
9698,1018165,control,1,5309.0,spb,target_direct
16187,1005388,control,0,,msk,target_direct
28519,1098055,test,0,,regions,target_direct
14011,1000270,control,0,,msk,organic
36566,1045006,control,0,,regions,target_direct
1209,1019170,control,0,,spb,target_direct
15811,1052323,control,0,,regions,context_brand
19892,1017079,control,0,,spb,target_direct
8538,1073212,test,1,5605.0,msk,social_media
20628,1046230,control,1,4091.0,regions,target_direct
12380,1114462,test,0,,regions,context_brand
16340,1077697,test,0,,spb,target_direct
21479,1013515,control,1,7493.0,spb,organic
11023,1026502,control,0,,regions,organic
33946,1043068,control,0,,regions,target_direct
7744,1028032,control,0,,regions,organic
12064,1071085,test,0,,msk,context_brand
12295,1089724,test,0,,regions,organic
22971,1111327,test,1,3309.0,regions,target_direct
138,1103767,test,0,,regions,target_direct
418,1050454,control,1,7046.0,regions,target_direct
15411,1029262,control,0,,regions,organic
26154,1038481,control,0,,regions,target_direct
23749,1074229,test,0,,spb,organic
4577,1063588,test,0,,msk,organic
24046,1059202,control,1,200.0,regions,social_media
30851,1027726,control,0,,regions,organic
34289,1030786,control,1,4769.0,regions,organic
37340,1027174,control,0,,regions,organic
17656,1085947,test,1,10166.0,regions,organic
20109,1118257,test,0,,regions,social_media
22011,1047235,control,1,50.0,regions,target_direct
22617,1117012,test,0,,regions,social_media
7099,1054816,control,0,,regions,context_brand
36933,1112074,test,0,,regions,target_direct
28479,1078732,test,1,250.0,spb,target_direct
36756,1000408,control,0,,msk,organic
747,1073722,test,1,7656.0,spb,organic
6888,1041943,control,0,,regions,target_direct
15709,1112983,test,0,,regions,context_brand
22830,1032220,control,1,6487.0,regions,organic
29336,1031977,control,0,,regions,organic
38042,1097749,test,0,,regions,target_direct
36267,1063222,test,0,,msk,organic
19688,1070188,test,0,,msk,target_direct
5020,1103353,test,0,,regions,target_direct
31292,1078006,test,1,5183.0,spb,target_direct
22898,1112665,test,0,,regions,context_brand
23370,1115368,test,0,,regions,context_brand
31389,1060816,test,0,,msk,organic
24692,1114186,test,1,9040.0,regions,context_brand
34848,1002571,control,1,2000.0,msk,organic
2090,1110331,test,0,,regions,target_direct
5882,1076896,test,0,,spb,target_direct
22118,1024768,control,0,,regions,organic
778,1035199,control,0,,regions,target_direct
35292,1044367,control,0,,regions,target_direct
12901,1019746,control,1,10590.0,spb,target_direct
32828,1100599,test,0,,regions,target_direct
5845,1075867,test,0,,spb,organic
34714,1068229,test,0,,msk,target_direct
17107,1000216,control,0,,msk,organic
7811,1049896,control,0,,regions,target_direct
30434,1035379,control,0,,regions,target_direct
36612,1059301,control,1,3341.0,regions,social_media
18497,1018759,control,1,15749.0,spb,target_direct
29340,1089313,test,0,,regions,organic
5353,1069078,test,0,,msk,target_direct
39020,1066963,test,0,,msk,target_direct
30634,1010737,control,1,1600.0,msk,context_brand
23305,1013086,control,0,,msk,social_media
20663,1072675,test,0,,msk,social_media
9819,1068697,test,1,5364.0,msk,target_direct
10841,1120045,test,1,3450.0,regions,social_media
33840,1050439,control,1,50.0,regions,target_direct
22311,1078981,test,1,10568.0,spb,target_direct
22988,1040596,control,0,,regions,target_direct
30024,1080391,test,0,,spb,target_direct
334,1051951,control,1,50.0,regions,target_direct
24603,1079668,test,1,5384.543994413408,spb,target_direct
15572,1067734,test,1,5276.0,msk,target_direct
19690,1081492,test,0,,spb,context_brand
21914,1046335,control,0,,regions,target_direct
23253,1108234,test,1,8182.0,regions,target_direct
28689,1087975,test,0,,regions,organic
18085,1097125,test,0,,regions,target_direct
37786,1097992,test,0,,regions,target_direct
20796,1111060,test,1,3602.0,regions,target_direct
32830,1090795,test,0,,regions,organic
31939,1067302,test,0,,msk,target_direct
15401,1013293,control,0,,msk,social_media
38074,1101499,test,1,250.0,regions,target_direct
17989,1072432,test,0,,msk,social_media
5298,1071232,test,1,12252.0,msk,context_brand
8841,1059502,control,0,,regions,social_media
10005,1054333,control,0,,regions,context_brand
14222,1035688,control,0,,regions,target_direct
30327,1069903,test,1,250.0,msk,target_direct
39862,1088005,test,0,,regions,organic
28599,1068919,test,0,,msk,target_direct
17702,1110997,test,1,250.0,regions,target_direct
6751,1094257,test,1,5959.0,regions,organic
23365,1053304,control,1,4027.0,regions,context_brand
20018,1022200,control,1,1600.0,spb,context_brand
31115,1120231,test,0,,regions,social_media
1319,1018936,control,0,,spb,target_direct
31144,1058587,control,0,,regions,social_media
9880,1022770,control,0,,spb,social_media
37155,1097197,test,0,,regions,target_direct
6972,1009201,control,0,,msk,target_direct
2867,1050757,control,0,,regions,target_direct
18051,1078300,test,1,5429.0,spb,target_direct
23486,1087270,test,0,,regions,organic
34246,1099285,test,0,,regions,target_direct
